breakdown step partitionid runtime
WorkStealingComputation 1 65 940
InitialComputation 1 66 289
WorkStealingComputation 1 66 943
InitialComputation 1 67 443
WorkStealingComputation 1 67 862
InitialComputation 1 68 367
WorkStealingComputation 1 68 1008
InitialComputation 1 69 428
WorkStealingComputation 1 69 944
InitialComputation 1 70 450
WorkStealingComputation 1 70 954
InitialComputation 1 71 367
WorkStealingComputation 1 71 827
InitialComputation 1 72 600
WorkStealingComputation 1 72 814
InitialComputation 1 73 454
WorkStealingComputation 1 73 936
InitialComputation 1 74 487
WorkStealingComputation 1 74 875
InitialComputation 1 75 438
WorkStealingComputation 1 75 948
InitialComputation 1 76 284
WorkStealingComputation 1 76 897
InitialComputation 1 77 386
WorkStealingComputation 1 77 948
InitialComputation 1 78 363
WorkStealingComputation 1 78 1004
InitialComputation 1 79 465
WorkStealingComputation 1 79 942
InitialComputation 1 80 456
WorkStealingComputation 1 80 959
InitialComputation 1 81 357
WorkStealingComputation 1 81 823
InitialComputation 1 82 561
WorkStealingComputation 1 82 818
InitialComputation 1 83 427
WorkStealingComputation 1 83 961
InitialComputation 1 84 479
WorkStealingComputation 1 84 886
InitialComputation 1 85 437
WorkStealingComputation 1 85 963
InitialComputation 1 86 269
WorkStealingComputation 1 86 922
InitialComputation 1 87 410
WorkStealingComputation 1 87 948
InitialComputation 1 88 374
WorkStealingComputation 1 88 1040
InitialComputation 1 89 503
WorkStealingComputation 1 89 914
InitialComputation 1 90 461
WorkStealingComputation 1 90 985
InitialComputation 1 91 374
WorkStealingComputation 1 91 842
InitialComputation 1 92 589
WorkStealingComputation 1 92 821
InitialComputation 1 93 448
WorkStealingComputation 1 93 941
InitialComputation 1 94 492
WorkStealingComputation 1 94 916
InitialComputation 1 95 474
WorkStealingComputation 1 95 907
InitialComputation 1 96 299
WorkStealingComputation 1 96 909
InitialComputation 1 97 447
WorkStealingComputation 1 97 893
InitialComputation 1 98 427
WorkStealingComputation 1 98 990
InitialComputation 1 99 430
WorkStealingComputation 1 99 970
InitialComputation 1 100 456
WorkStealingComputation 1 100 978
InitialComputation 1 101 348
WorkStealingComputation 1 101 829
InitialComputation 1 102 555
WorkStealingComputation 1 102 821
InitialComputation 1 103 437
WorkStealingComputation 1 103 953
InitialComputation 1 104 524
WorkStealingComputation 1 104 854
InitialComputation 1 105 430
WorkStealingComputation 1 105 941
InitialComputation 1 106 445
WorkStealingComputation 1 106 880
InitialComputation 1 107 415
WorkStealingComputation 1 107 962
InitialComputation 1 108 386
WorkStealingComputation 1 108 1003
InitialComputation 1 109 484
WorkStealingComputation 1 109 913
InitialComputation 1 110 379
WorkStealingComputation 1 110 1067
InitialComputation 1 111 327
WorkStealingComputation 1 111 872
InitialComputation 1 112 530
WorkStealingComputation 1 112 849
InitialComputation 1 113 412
WorkStealingComputation 1 113 971
InitialComputation 1 114 568
WorkStealingComputation 1 114 829
InitialComputation 1 115 455
WorkStealingComputation 1 115 942
InitialComputation 1 116 366
WorkStealingComputation 1 116 893
InitialComputation 1 117 425
WorkStealingComputation 1 117 944
InitialComputation 1 118 395
WorkStealingComputation 1 118 1004
InitialComputation 1 119 399
WorkStealingComputation 1 119 954
InitialComputation 1 120 455
WorkStealingComputation 1 120 999
InitialComputation 1 121 348
WorkStealingComputation 1 121 844
InitialComputation 1 122 538
WorkStealingComputation 1 122 849
InitialComputation 1 123 488
WorkStealingComputation 1 123 922
InitialComputation 1 124 545
WorkStealingComputation 1 124 832
InitialComputation 1 125 505
WorkStealingComputation 1 125 890
InitialComputation 1 126 436
WorkStealingComputation 1 126 910
InitialComputation 1 127 435
WorkStealingComputation 1 127 934
InitialComputation 1 128 422
WorkStealingComputation 1 128 985
InitialComputation 1 129 497
WorkStealingComputation 1 129 895
InitialComputation 1 130 457
WorkStealingComputation 1 130 977
InitialComputation 1 131 395
WorkStealingComputation 1 131 1059
InitialComputation 1 132 561
WorkStealingComputation 1 132 850
InitialComputation 1 133 453
WorkStealingComputation 1 133 929
InitialComputation 1 134 533
WorkStealingComputation 1 134 842
InitialComputation 1 135 461
WorkStealingComputation 1 135 934
InitialComputation 1 136 382
WorkStealingComputation 1 136 918
InitialComputation 1 137 662
WorkStealingComputation 1 137 722
InitialComputation 1 138 730
WorkStealingComputation 1 138 690
InitialComputation 1 139 728
WorkStealingComputation 1 139 666
InitialComputation 1 140 756
WorkStealingComputation 1 140 697
InitialComputation 1 141 716
WorkStealingComputation 1 141 508
InitialComputation 1 142 882
WorkStealingComputation 1 142 527
InitialComputation 1 143 571
WorkStealingComputation 1 143 849
InitialComputation 1 144 851
WorkStealingComputation 1 144 508
InitialComputation 1 145 721
WorkStealingComputation 1 145 655
InitialComputation 1 146 592
WorkStealingComputation 1 146 624
InitialComputation 1 147 750
WorkStealingComputation 1 147 620
InitialComputation 1 148 982
WorkStealingComputation 1 148 429
InitialComputation 1 149 1071
WorkStealingComputation 1 149 315
InitialComputation 1 150 934
WorkStealingComputation 1 150 497
InitialComputation 1 151 950
WorkStealingComputation 1 151 232
InitialComputation 1 152 1235
WorkStealingComputation 1 152 163
InitialComputation 1 153 1011
WorkStealingComputation 1 153 387
InitialComputation 1 154 1160
WorkStealingComputation 1 154 211
InitialComputation 1 155 1079
WorkStealingComputation 1 155 296
InitialComputation 1 156 964
WorkStealingComputation 1 156 409
InitialComputation 1 157 981
WorkStealingComputation 1 157 398
InitialComputation 1 158 1020
WorkStealingComputation 1 158 391
InitialComputation 1 159 777
WorkStealingComputation 1 159 651
InitialComputation 1 160 828
WorkStealingComputation 1 160 626
InitialComputation 1 161 993
WorkStealingComputation 1 161 188
InitialComputation 1 162 1225
WorkStealingComputation 1 162 182
InitialComputation 1 163 1051
WorkStealingComputation 1 163 335
InitialComputation 1 164 819
WorkStealingComputation 1 164 571
InitialComputation 1 165 1103
WorkStealingComputation 1 165 273
InitialComputation 1 166 1052
WorkStealingComputation 1 166 235
InitialComputation 1 167 1017
WorkStealingComputation 1 167 340
InitialComputation 1 168 1076
WorkStealingComputation 1 168 329
InitialComputation 1 169 913
WorkStealingComputation 1 169 512
InitialComputation 1 170 646
WorkStealingComputation 1 170 812
InitialComputation 1 171 1024
WorkStealingComputation 1 171 158
InitialComputation 1 172 1209
WorkStealingComputation 1 172 201
InitialComputation 1 173 1075
WorkStealingComputation 1 173 306
InitialComputation 1 174 1042
WorkStealingComputation 1 174 345
InitialComputation 1 175 816
WorkStealingComputation 1 175 590
InitialComputation 1 176 1060
WorkStealingComputation 1 176 240
InitialComputation 1 177 1053
WorkStealingComputation 1 177 305
InitialComputation 1 178 1053
WorkStealingComputation 1 178 293
InitialComputation 1 179 645
WorkStealingComputation 1 179 788
InitialComputation 1 180 999
WorkStealingComputation 1 180 452
InitialComputation 1 181 1050
WorkStealingComputation 1 181 127
InitialComputation 1 182 1186
WorkStealingComputation 1 182 235
InitialComputation 1 183 896
WorkStealingComputation 1 183 520
InitialComputation 1 184 710
WorkStealingComputation 1 184 681
InitialComputation 1 185 886
WorkStealingComputation 1 185 522
InitialComputation 1 186 1014
WorkStealingComputation 1 186 357
InitialComputation 1 187 1087
WorkStealingComputation 1 187 301
InitialComputation 1 188 1097
WorkStealingComputation 1 188 303
InitialComputation 1 189 844
