breakdown step partitionid runtime
WorkStealingComputation 1 183 261
InitialComputation 1 184 577
WorkStealingComputation 1 184 455
InitialComputation 1 185 1058
WorkStealingComputation 1 185 13
InitialComputation 1 186 715
WorkStealingComputation 1 186 366
InitialComputation 1 187 1101
WorkStealingComputation 1 187 81
InitialComputation 1 188 1146
WorkStealingComputation 1 188 1
InitialComputation 1 189 1234
WorkStealingComputation 1 189 131
InitialComputation 1 190 1075
WorkStealingComputation 1 190 160
InitialComputation 1 191 895
WorkStealingComputation 1 191 253
InitialComputation 1 192 1041
WorkStealingComputation 1 192 28
InitialComputation 1 193 1131
WorkStealingComputation 1 193 1
InitialComputation 1 194 737
WorkStealingComputation 1 194 294
InitialComputation 1 195 803
WorkStealingComputation 1 195 281
InitialComputation 1 196 1032
WorkStealingComputation 1 196 33
InitialComputation 1 197 1051
WorkStealingComputation 1 197 134
