mode breakdown step partitionid runtime
4.Internal+External WorkStealingComputation 1 18 992
4.Internal+External InitialComputation 1 19 452
4.Internal+External WorkStealingComputation 1 19 960
4.Internal+External InitialComputation 1 20 479
4.Internal+External WorkStealingComputation 1 20 954
4.Internal+External InitialComputation 1 21 379
4.Internal+External WorkStealingComputation 1 21 796
4.Internal+External InitialComputation 1 22 553
4.Internal+External WorkStealingComputation 1 22 850
4.Internal+External InitialComputation 1 23 425
4.Internal+External WorkStealingComputation 1 23 919
4.Internal+External InitialComputation 1 24 496
4.Internal+External WorkStealingComputation 1 24 891
4.Internal+External InitialComputation 1 25 383
4.Internal+External WorkStealingComputation 1 25 981
4.Internal+External InitialComputation 1 26 318
4.Internal+External WorkStealingComputation 1 26 922
4.Internal+External InitialComputation 1 27 422
4.Internal+External WorkStealingComputation 1 27 907
4.Internal+External InitialComputation 1 28 402
4.Internal+External WorkStealingComputation 1 28 995
4.Internal+External InitialComputation 1 29 453
4.Internal+External WorkStealingComputation 1 29 948
4.Internal+External InitialComputation 1 30 420
4.Internal+External WorkStealingComputation 1 30 1015
4.Internal+External InitialComputation 1 31 353
4.Internal+External WorkStealingComputation 1 31 824
4.Internal+External InitialComputation 1 32 551
4.Internal+External WorkStealingComputation 1 32 847
4.Internal+External InitialComputation 1 33 444
4.Internal+External WorkStealingComputation 1 33 933
4.Internal+External InitialComputation 1 34 572
4.Internal+External WorkStealingComputation 1 34 777
4.Internal+External InitialComputation 1 35 435
4.Internal+External WorkStealingComputation 1 35 949
4.Internal+External InitialComputation 1 36 401
4.Internal+External WorkStealingComputation 1 36 919
