breakdown step partitionid runtime
WorkStealingComputation 0 276 1858
InitialComputation 0 277 1190
WorkStealingComputation 0 277 2129
InitialComputation 0 278 535
WorkStealingComputation 0 278 2634
InitialComputation 0 279 342
WorkStealingComputation 0 279 2948
InitialComputation 1 0 628
WorkStealingComputation 1 0 1517
InitialComputation 1 1 449
WorkStealingComputation 1 1 1748
InitialComputation 1 2 531
WorkStealingComputation 1 2 1611
InitialComputation 1 3 603
WorkStealingComputation 1 3 1590
InitialComputation 1 4 346
WorkStealingComputation 1 4 1863
InitialComputation 1 5 398
WorkStealingComputation 1 5 1803
InitialComputation 1 6 495
WorkStealingComputation 1 6 1673
InitialComputation 1 7 659
WorkStealingComputation 1 7 1485
InitialComputation 1 8 486
WorkStealingComputation 1 8 1698
InitialComputation 1 9 398
WorkStealingComputation 1 9 1696
InitialComputation 1 10 627
WorkStealingComputation 1 10 1474
InitialComputation 1 11 427
WorkStealingComputation 1 11 1691
InitialComputation 1 12 483
WorkStealingComputation 1 12 1694
InitialComputation 1 13 365
WorkStealingComputation 1 13 1751
InitialComputation 1 14 430
WorkStealingComputation 1 14 1787
InitialComputation 1 15 327
WorkStealingComputation 1 15 1816
InitialComputation 1 16 516
WorkStealingComputation 1 16 1629
InitialComputation 1 17 666
WorkStealingComputation 1 17 1477
InitialComputation 1 18 467
WorkStealingComputation 1 18 1686
InitialComputation 1 19 471
WorkStealingComputation 1 19 1676
InitialComputation 1 20 674
WorkStealingComputation 1 20 1442
InitialComputation 1 21 402
WorkStealingComputation 1 21 1755
InitialComputation 1 22 609
WorkStealingComputation 1 22 1569
InitialComputation 1 23 399
WorkStealingComputation 1 23 1783
InitialComputation 1 24 459
WorkStealingComputation 1 24 1756
InitialComputation 1 25 345
WorkStealingComputation 1 25 1773
InitialComputation 1 26 557
WorkStealingComputation 1 26 1600
InitialComputation 1 27 626
WorkStealingComputation 1 27 1470
InitialComputation 1 28 511
WorkStealingComputation 1 28 1645
InitialComputation 1 29 425
WorkStealingComputation 1 29 1682
InitialComputation 1 30 621
WorkStealingComputation 1 30 1513
InitialComputation 1 31 411
WorkStealingComputation 1 31 1753
InitialComputation 1 32 486
WorkStealingComputation 1 32 1618
InitialComputation 1 33 588
WorkStealingComputation 1 33 1537
InitialComputation 1 34 348
WorkStealingComputation 1 34 1862
InitialComputation 1 35 355
WorkStealingComputation 1 35 1763
InitialComputation 1 36 569
WorkStealingComputation 1 36 1606
InitialComputation 1 37 633
WorkStealingComputation 1 37 1465
InitialComputation 1 38 489
WorkStealingComputation 1 38 1644
InitialComputation 1 39 447
WorkStealingComputation 1 39 1674
InitialComputation 1 40 585
WorkStealingComputation 1 40 1527
InitialComputation 1 41 446
WorkStealingComputation 1 41 1710
InitialComputation 1 42 588
WorkStealingComputation 1 42 1517
InitialComputation 1 43 404
WorkStealingComputation 1 43 1779
InitialComputation 1 44 350
WorkStealingComputation 1 44 1874
InitialComputation 1 45 340
WorkStealingComputation 1 45 1782
InitialComputation 1 46 493
WorkStealingComputation 1 46 1675
InitialComputation 1 47 632
WorkStealingComputation 1 47 1463
InitialComputation 1 48 477
WorkStealingComputation 1 48 1677
InitialComputation 1 49 420
WorkStealingComputation 1 49 1679
InitialComputation 1 50 666
WorkStealingComputation 1 50 1452
InitialComputation 1 51 421
WorkStealingComputation 1 51 1732
InitialComputation 1 52 488
WorkStealingComputation 1 52 1621
InitialComputation 1 53 590
WorkStealingComputation 1 53 1591
InitialComputation 1 54 371
WorkStealingComputation 1 54 1844
InitialComputation 1 55 334
WorkStealingComputation 1 55 1785
InitialComputation 1 56 506
WorkStealingComputation 1 56 1647
InitialComputation 1 57 621
WorkStealingComputation 1 57 1474
InitialComputation 1 58 425
WorkStealingComputation 1 58 1729
InitialComputation 1 59 446
WorkStealingComputation 1 59 1674
InitialComputation 1 60 584
WorkStealingComputation 1 60 1534
InitialComputation 1 61 429
WorkStealingComputation 1 61 1738
InitialComputation 1 62 484
WorkStealingComputation 1 62 1683
InitialComputation 1 63 455
WorkStealingComputation 1 63 1723
InitialComputation 1 64 334
WorkStealingComputation 1 64 1866
InitialComputation 1 65 327
WorkStealingComputation 1 65 1819
InitialComputation 1 66 482
WorkStealingComputation 1 66 1680
InitialComputation 1 67 653
WorkStealingComputation 1 67 1523
InitialComputation 1 68 419
WorkStealingComputation 1 68 1726
InitialComputation 1 69 393
WorkStealingComputation 1 69 1699
InitialComputation 1 70 572
WorkStealingComputation 1 70 1562
InitialComputation 1 71 437
WorkStealingComputation 1 71 1733
InitialComputation 1 72 475
WorkStealingComputation 1 72 1635
InitialComputation 1 73 390
WorkStealingComputation 1 73 1780
